ticketNo,lotNo,validity,validTill,details,ticketFor,cost
011000791200281255,dauz,n,,,adult,120
011000791200281261,dauz,n,,,adult,120
011000791200281262,dauz,n,,,adult,120
011000791200281264,dauz,n,,,adult,120
011000791200281269,dauz,n,,,adult,120
011000791200281273,dauz,n,,,adult,120
011000791200281278,dauz,n,,,adult,120
011000791200281281,dauz,n,,,adult,120
011000791200281282,dauz,n,,,adult,120
011000791200281291,dauz,n,,,adult,120
011000791200281292,dauz,n,,,adult,120
011000791200281294,dauz,n,,,adult,120
011000791200281299,dauz,n,,,adult,120
011000791200281303,dauz,n,,,adult,120
011000791200281308,dauz,n,,,adult,120
011000791200281310,dauz,n,,,adult,120
011000791200281311,dauz,n,,,adult,120
011000791200281314,dauz,n,,,adult,120
011000791200281316,dauz,n,,,adult,120
011000791200281318,dauz,n,,,adult,120
011000791200281319,dauz,n,,,adult,120
011000791200281327,dauz,n,,,adult,120
011000791200281330,dauz,n,,,adult,120
011000791200281331,dauz,n,,,adult,120
011000791200281336,dauz,n,,,adult,120
011000791200281338,dauz,n,,,adult,120
011000791200281340,dauz,n,,,adult,120
011000791200281341,dauz,n,,,adult,120
011000791200281344,dauz,n,,,adult,120
011000791200281346,dauz,n,,,adult,120
011000791200281348,dauz,n,,,adult,120
011000791200281357,dauz,n,,,adult,120
011000791200281363,dauz,n,,,adult,120
011000791200281370,dauz,n,,,adult,120
011000791200281371,dauz,n,,,adult,120
011000791200281372,dauz,n,,,adult,120
011000791200281374,dauz,n,,,adult,120
011000791200281376,dauz,n,,,adult,120
011000791200281606,dauz,n,,,adult,120
011000791200281612,dauz,n,,,adult,120
011000791200281613,dauz,n,,,adult,120
011000791200281615,dauz,n,,,adult,120
011000791200281616,dauz,n,,,adult,120
011000791200281618,dauz,n,,,adult,120
011000791200281624,dauz,n,,,adult,120
011000791200281633,dauz,n,,,adult,120
011000791200281635,dauz,n,,,adult,120
011000791200281636,dauz,n,,,adult,120
011000791200281638,dauz,n,,,adult,120
011000791200281643,dauz,n,,,adult,120
